epoch#, log10(loss), log10(val_loss)
343, -3.1666145234227447, -3.079585396303712
344, -3.1659547854699523, -3.081942238042227
345, -3.166418343546815, -3.0824218932156087
346, -3.167202072143156, -3.0757582466796896
347, -3.1659922386869015, -3.0796865484408142
348, -3.1669793738947596, -3.077477170934522
349, -3.166476012494912, -3.0811675338516826
350, -3.1674175994408036, -3.084887710658462
351, -3.167186060503961, -3.0822438125166225
352, -3.1682630524937476, -3.0756476544150106
353, -3.168057341769054, -3.0857942409518926
354, -3.1671964624297617, -3.0855638522360347
355, -3.1679468008736356, -3.086782152264874
356, -3.168685837854964, -3.0785125578612487
357, -3.167091414426643, -3.0830632584655695
358, -3.167141595080079, -3.085051904491604
359, -3.168245698287651, -3.0856736118886445
360, -3.170062636859159, -3.0855742266458335
361, -3.168788923210679, -3.072379286916936
362, -3.169328423145981, -3.0770224117039517
363, -3.167935525050631, -3.0779420863249527
364, -3.169718242556546, -3.0894628551006598
365, -3.1688573496061827, -3.0849823889089345
366, -3.169045978871477, -3.085123307133252
367, -3.1693527649436635, -3.084645299328576
368, -3.1701351540818337, -3.0836912270140115
369, -3.170383913951017, -3.0806582738295756
370, -3.169332081795321, -3.079447568513821
371, -3.169865192588006, -3.0784265774697643
372, -3.169585574295158, -3.087495944528118
373, -3.17039540322253, -3.081764231810763
374, -3.1699973106680512, -3.0887870094693137
375, -3.170199341364369, -3.084936983808548
376, -3.170362508040852, -3.0885888780927546
377, -3.1703936816836604, -3.082117721277478
378, -3.171716260894744, -3.086781473109796
379, -3.170938777321577, -3.079154602114175
380, -3.1701997902598884, -3.085287374726904
381, -3.171793034585361, -3.0862319526976214
382, -3.1717596579490963, -3.0802739148470675
383, -3.1714761913714735, -3.0896049241740218
384, -3.171396472760193, -3.0877135007663483
385, -3.1723930123679094, -3.0878662016199168
386, -3.17230226179806, -3.0865449139298136
387, -3.1726130879309773, -3.080868624110392
388, -3.17201156662135, -3.07698519556292
389, -3.1728665837704146, -3.09116458457651
390, -3.172161173679258, -3.08841014131808
391, -3.1719262287741588, -3.083955924470821
392, -3.172362333997233, -3.0866389975105624
393, -3.173335284002084, -3.087416143496317
394, -3.1726280219094303, -3.0850433566417466
395, -3.17211465546681, -3.088334571458562
396, -3.1726010884563993, -3.083610221917144
397, -3.1735133539318863, -3.0795385785233753
398, -3.1735126377372644, -3.087720245081022
399, -3.173793363424593, -3.091965498956
400, -3.1739064968282924, -3.082726308923291
401, -3.172901927657135, -3.0879151019957805
402, -3.174562035679382, -3.086857483329
403, -3.173369347183276, -3.0922423856689183
404, -3.175043653578277, -3.0851680858382897
405, -3.17449863604539, -3.088623598812532
406, -3.1745599196901004, -3.0844031767409157
407, -3.174391882606389, -3.0693915104156515
408, -3.173257860492011, -3.086642855094618
409, -3.175360726262649, -3.085790082895365
410, -3.1747279840157767, -3.090085501141024
411, -3.17455496982687, -3.0864448664169792
412, -3.174211337879132, -3.0894500267462033
413, -3.1757180746109777, -3.0862982457502186
414, -3.175755659476249, -3.0828213736292556
415, -3.1747597372235616, -3.0869589848139354
416, -3.174708933205423, -3.0839502504715637
417, -3.176433958215172, -3.083602315305034
418, -3.1749354802835317, -3.088774077011901
419, -3.174943686893174, -3.0904163505338738
420, -3.175645225309406, -3.0892538591479615
421, -3.1758180681453814, -3.08995459397218
422, -3.176181140797817, -3.086481082004052
423, -3.1760060303857705, -3.0871154368130624
424, -3.1755770088321853, -3.088664306191206
425, -3.1771764922979178, -3.0948624977551553
426, -3.175855889055763, -3.093854203821674
427, -3.176539620616886, -3.084875969534814
428, -3.1774927679652407, -3.0916597224519684
429, -3.1774188977241185, -3.0825743036950026
430, -3.1768365541806878, -3.0867178224709275
431, -3.1771240744715366, -3.090942706156205
432, -3.1767793919811744, -3.092851313299115
433, -3.1756309069148814, -3.0837877601938115
434, -3.177143193511357, -3.086928967301472
435, -3.1764088368147716, -3.091801262933428
436, -3.178259332894743, -3.087508838980581
437, -3.1777325334051425, -3.0939751182501305
438, -3.177501137168049, -3.094945786550559
439, -3.178425709104028, -3.0950411101723168
440, -3.1780233900046477, -3.0905454974763606
441, -3.177785405397197, -3.092286184939617
442, -3.177874225037893, -3.084642288858404
443, -3.1780297507425446, -3.086554910692471
444, -3.17834424731222, -3.0913637076006237
445, -3.177582631200663, -3.087879478455923
446, -3.1792272276049127, -3.0948746063497876
447, -3.178591538869963, -3.085957144894625
448, -3.1789875519230266, -3.0809448551859626
449, -3.177578255548989, -3.0911042169345446
450, -3.1786740006902785, -3.089442665367663
451, -3.179384079241624, -3.0984117093291013
452, -3.179655857742511, -3.088194806520362
453, -3.1783758467267544, -3.0891245059589325
454, -3.178688229035876, -3.0926466571597664
